Node Number	Directional Deformation (mm)
1	3.6945e-003
2	-1.7311e-004
3	1.5017
4	1.5128
5	1.5872
6	1.7247
7	2.2462
8	2.7115
9	3.1101
10	2.4714
11	0.23718
12	-0.34564
13	0.24708
14	7.3385e-002
15	1.2783e-002
16	1.5053e-002
17	-1.0908e-004
18	-5.4717e-004
19	2.2425e-003
20	2.028
21	3.2645e-004
22	2.6602e-003
23	3.6271e-003
24	-7.9926e-003
25	2.2375e-002
26	0.18776
27	9.1639e-002
28	-1.1344
29	-2.5666
30	-1.1604
31	0.42655
32	1.3468
33	1.7805
34	1.7584
35	1.9199
36	1.992
37	7.3928e-003
38	3.514e-003
39	-1.0657e-003
40	-4.668e-003
41	-2.0813e-003
42	3.6099e-003
43	4.2614e-003
44	1.1284
45	3.9576e-003
46	-7.3348e-003
47	-7.0853e-003
48	-2.0957e-002
49	3.9726e-002
50	6.6834e-003
51	-9.706e-004
52	-0.19034
53	-3.2968e-002
54	2.8052
55	2.7719
56	1.8565
57	1.1814
58	1.1957
59	1.1274
60	1.1052
61	1.207
62	1.2862
63	1.2871
64	1.3288
65	1.3618
66	1.418
67	4.5059e-003
68	-1.302e-004
69	3.7883e-004
70	-3.7249e-003
71	-4.9194e-003
72	2.0598e-003
73	4.8276e-003
74	1.6229
75	4.5828e-003
76	-1.2936e-002
77	-6.8706e-002
78	0.12046
79	-0.31425
80	-2.0724
81	-1.2141
82	0.48449
83	0.77921
84	1.3539
85	1.5425
86	1.7154
87	1.7544
88	1.8305
89	1.9099
90	1.5498
91	0.11867
92	-0.10869
93	-1.8288
94	-1.2281e-002
95	-0.44881
96	1.0258
97	4.8013e-003
98	-2.8797
99	1.6497
100	-2.0078e-002
101	-1.9191
102	0.61555
103	1.7959
104	-9.0712e-002
105	1.9833
106	-0.16343
107	-4.4233e-002
108	6.2463e-002
109	2.0115
110	-2.0449e-003
111	-0.30576
112	1.491
113	-3.0555e-002
114	2.4044
115	0.13489
116	-3.9472e-003
117	1.325
118	-0.16371
119	0.11189
120	4.8187e-003
121	1.242
122	1.111
123	1.3048
124	-3.3898e-002
125	1.3758e-002
126	1.7712
127	1.0082
128	-0.10767
129	1.541e-002
130	-6.2864e-003
131	1.2646
132	2.2182
133	-9.1839e-002
134	-8.151e-003
135	2.1129
136	0.
137	0.
138	0.
139	0.
140	1.0221e-011
141	1.2216e-011
142	1.5527e-011
143	1.9466e-011
144	7.3716e-012
145	6.5458e-012
146	0.
147	0.
148	6.2999e-012
149	6.4106e-012
150	8.0736e-012
151	1.2191e-011
152	2.9182e-012
153	3.2028e-012
154	0.
155	0.
156	0.
157	1.5166e-011
158	4.4571e-011
159	1.5173e-010
160	3.144e-011
161	2.9916e-011
162	1.6692e-011
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	0.
173	0.
174	1.7846e-013
175	1.1316e-012
176	1.2256e-012
177	6.9361e-013
178	5.1278e-013
179	2.5896e-013
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	0.
189	0.
190	-1.6637e-013
191	-1.5894e-013
192	-5.7991e-013
193	-7.0917e-013
194	-1.1149e-012
195	-8.2662e-013
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	-3.1327e-012
237	-2.7995e-012
238	-1.4041e-012
239	7.5493e-014
240	-7.3668e-013
241	-4.119e-013
242	9.0111e-012
243	4.7382e-011
244	6.6598e-011
245	-1.0125e-011
246	1.7278e-011
247	8.2634e-012
248	0.
249	-3.3746e-012
250	-1.0269e-011
251	-3.4233e-012
252	-3.8746e-012
253	4.1579e-012
254	-2.8807e-012
255	-5.4039e-012
256	-4.7353e-012
257	-7.0487e-013
258	8.5847e-014
259	-4.1527e-013
260	-5.6223e-012
261	-6.1125e-014
262	-1.4617e-012
263	-1.2435e-012
264	-7.9749e-012
265	-5.9374e-012
266	4.6685e-012
267	3.9335e-012
268	3.3526e-012
269	1.737e-011
270	4.4729e-012
271	8.7907e-012
272	1.9058e-012
273	5.7285e-012
274	4.6583e-013
275	4.4038e-012
276	3.5459e-011
277	4.9234e-011
278	0.
279	0.
280	-4.6003e-012
281	0.
282	0.
283	2.4453e-011
284	5.5446e-011
285	1.7091e-011
286	4.0122e-013
287	1.3885e-012
288	2.0162e-011
289	8.8261e-012
290	3.0637e-012
291	-0.88946
292	-0.75792
293	-0.91753
294	-0.98351
295	-0.90929
296	-0.90626
297	-0.81261
298	-0.99572
299	-1.041
300	-1.114
301	-1.201
302	-1.1933
303	-1.1417
304	-1.1743
305	-1.0878
306	-1.0055
307	-1.0007
308	-0.94825
309	0.
310	-0.1546
311	-0.25951
312	-0.40369
313	-0.55843
314	-0.75037
315	-0.9381
316	-1.0077
317	-1.1132
318	0.
319	0.
320	0.
321	0.
322	0.
323	0.
324	0.
325	-0.78168
326	-0.68666
327	-0.58529
328	-0.49649
329	-0.38903
330	-0.32152
