Node Number	Directional Deformation (mm)
1	-9.2067e-003
2	-2.9105e-003
3	-0.29362
4	-0.24776
5	-0.20241
6	-0.16489
7	-0.12056
8	-4.1253e-002
9	1.7236e-002
10	0.10595
11	0.21163
12	7.9191e-003
13	0.18426
14	2.0406e-002
15	-1.2526e-002
16	-2.6712e-002
17	1.4285e-002
18	1.0698e-002
19	-2.2543e-003
20	-0.25487
21	-7.362e-003
22	-5.0906e-003
23	8.1358e-003
24	1.6176e-002
25	0.12461
26	0.24504
27	0.47371
28	2.5747e-002
29	-0.20966
30	-0.15008
31	-0.10148
32	-3.0677e-002
33	-3.9453e-002
34	-0.10878
35	-0.15567
36	-0.20538
37	6.3456e-003
38	2.0063e-003
39	8.7714e-004
40	6.2507e-003
41	6.7443e-003
42	-4.9004e-003
43	-3.4903e-003
44	-0.24424
45	1.6294e-003
46	-5.1565e-003
47	-6.2007e-004
48	2.0001e-002
49	1.4659e-002
50	-9.9543e-004
51	1.58e-002
52	-0.64011
53	-0.43508
54	-5.5536e-002
55	0.10235
56	0.1245
57	5.5495e-002
58	-3.295e-002
59	-0.10488
60	-0.18262
61	-0.24437
62	-0.24735
63	-0.25213
64	-0.255
65	-0.27245
66	-0.28629
67	2.6128e-003
68	-4.3074e-003
69	-1.8426e-003
70	1.8085e-003
71	5.041e-003
72	2.837e-003
73	3.733e-003
74	-0.27436
75	1.8845e-004
76	-1.0462e-002
77	-7.9759e-003
78	0.11895
79	0.48849
80	0.46756
81	0.34088
82	0.28835
83	8.3657e-002
84	-7.0684e-002
85	-0.19013
86	-0.27327
87	-0.26629
88	-0.26027
89	-0.25342
90	-0.12321
91	-0.15489
92	8.9663e-003
93	-4.4628e-002
94	-5.9255e-003
95	-8.7539e-002
96	1.3939e-002
97	1.2354e-003
98	0.21868
99	-0.17374
100	1.7631e-002
101	-0.20663
102	-0.11665
103	-0.16608
104	5.2173e-002
105	1.0267e-002
106	-0.12866
107	3.8776e-003
108	2.4342e-002
109	-7.3095e-002
110	6.1565e-003
111	-0.14788
112	-7.0138e-002
113	-3.342e-003
114	-6.0787e-002
115	-3.2959e-003
116	-9.7944e-003
117	-0.16661
118	9.2836e-002
119	-6.5629e-002
120	1.1134e-002
121	-0.14417
122	0.125
123	1.4246e-002
124	8.915e-003
125	0.1974
126	1.4666e-002
