Node Number	Equivalent (von-Mises) Stress (MPa)
1	33.317
2	22.77
3	19.046
4	30.811
5	34.279
6	36.421
7	69.258
8	103.52
9	28.531
10	19.241
11	46.603
12	109.35
13	84.692
14	199.16
15	264.21
16	103.68
17	28.237
18	19.849
19	17.146
20	15.868
21	8.249
22	16.782
23	36.815
24	91.123
25	175.72
26	72.757
27	104.12
28	90.454
29	54.756
30	65.606
31	64.33
32	41.908
33	36.441
34	32.521
35	47.024
36	13.643
37	30.718
38	9.8099
39	22.956
40	21.373
41	22.591
42	26.416
43	21.609
44	25.913
45	20.405
46	130.4
47	113.54
48	309.22
49	192.22
50	258.29
51	192.1
52	130.97
53	78.499
54	112.49
55	69.174
56	67.171
57	22.16
58	32.18
59	24.735
60	20.733
61	20.017
62	28.55
63	10.976
64	8.1201
65	22.436
66	24.448
67	10.205
68	8.7507
69	24.033
70	25.949
71	41.095
72	36.613
73	26.414
74	39.598
75	65.763
76	115.94
77	229.97
78	158.39
79	98.273
80	103.96
81	70.61
82	48.198
83	43.831
84	25.157
85	19.384
86	21.695
87	23.905
88	20.757
89	13.459
90	14.196
91	88.639
92	64.851
93	80.897
94	28.858
95	65.865
96	28.195
97	38.15
98	49.095
99	16.082
100	120.26
101	57.88
102	21.887
103	16.043
104	90.486
105	58.409
106	29.569
107	81.574
108	118.69
109	60.439
110	148.17
111	60.958
112	75.616
113	64.721
114	46.094
115	150.63
116	38.726
117	35.369
118	223.72
119	181.12
120	19.029
121	18.321
122	88.673
123	41.001
124	76.935
125	29.604
126	17.849
127	35.168
128	134.86
129	127.21
130	35.888
131	18.871
132	23.217
133	93.857
134	144.29
135	49.064
136	59.407
137	31.417
138	36.69
139	51.731
140	29.2
141	34.107
142	42.303
143	45.16
144	44.289
145	47.108
146	47.21
147	45.712
148	94.48
149	207.74
150	192.4
151	186.96
152	118.89
153	67.293
154	0.60821
155	25.853
156	20.86
157	14.389
158	7.2791
159	3.243
160	0.98178
161	0.7879
162	0.70171
163	0.70506
164	0.53873
165	0.45566
166	0.22918
167	0.28159
168	0.2429
169	0.23656
170	0.30641
171	0.4239
172	34.676
173	21.079
174	14.546
175	7.6242
176	5.0842
177	1.3935
178	0.71376
179	0.74966
180	0.6175
181	0.41962
182	84.783
183	109.27
184	78.076
