Node Number	Directional Deformation (mm)
1	-9.8965e-015
2	-9.8158e-015
3	1.1795e-014
4	1.4771e-014
5	1.7776e-014
6	2.0806e-014
7	2.3933e-014
8	2.7242e-014
9	3.0647e-014
10	3.4592e-014
11	3.6508e-014
12	3.7415e-014
13	3.8589e-014
14	3.4443e-014
15	2.0736e-014
16	2.2115e-014
17	1.7014e-014
18	2.9275e-015
19	-4.576e-015
20	1.1793e-014
21	-3.0579e-015
22	5.1685e-015
23	1.719e-014
24	2.1371e-014
25	2.1662e-014
26	3.3817e-014
27	3.7618e-014
28	3.7027e-014
29	3.6409e-014
30	3.4348e-014
31	3.0697e-014
32	2.7223e-014
33	2.3925e-014
34	2.0795e-014
35	1.7774e-014
36	1.4767e-014
37	-4.2053e-015
38	1.683e-014
39	2.463e-014
40	3.9253e-014
41	4.3274e-014
42	3.6395e-014
43	9.946e-015
44	-2.3178e-014
45	3.3393e-015
46	2.9388e-015
47	9.5563e-016
48	1.0425e-016
49	7.4676e-016
50	-1.7862e-016
51	1.0099e-015
52	2.6445e-015
53	3.1773e-015
54	-5.8407e-016
55	-4.0774e-015
56	-7.6689e-015
57	-1.1047e-014
58	-1.4451e-014
59	-1.7415e-014
60	-2.0325e-014
61	-1.8344e-014
62	-1.3493e-014
63	-8.5863e-015
64	-3.603e-015
65	1.5071e-015
66	6.6448e-015
67	-2.9811e-015
68	1.1356e-014
69	3.4827e-014
70	4.3066e-014
71	3.9266e-014
72	2.8346e-014
73	1.4884e-014
74	-2.3177e-014
75	6.1574e-015
76	2.1032e-015
77	2.2069e-015
78	1.5496e-015
79	1.1489e-015
80	4.5579e-015
81	-3.1992e-016
82	-5.2876e-015
83	-1.0152e-014
84	-1.497e-014
85	-1.9131e-014
86	-1.6413e-014
87	-9.5852e-015
88	-2.5805e-015
89	4.5856e-015
90	1.0729e-014
91	3.5229e-014
92	4.2479e-014
93	2.6325e-014
94	4.8257e-014
95	1.475e-014
96	-8.782e-016
97	3.9946e-014
98	8.2873e-015
99	-5.3896e-015
100	2.6165e-014
101	3.076e-014
102	1.7886e-014
103	8.5157e-015
104	3.8847e-014
105	2.1496e-015
106	2.7994e-014
107	4.109e-014
108	2.2618e-014
109	1.121e-014
110	3.3285e-014
111	8.5621e-015
112	-8.1785e-016
113	4.628e-014
114	1.8791e-014
115	3.3767e-014
116	3.9643e-014
117	6.318e-015
118	1.5651e-014
119	1.356e-014
120	2.8321e-014
121	-1.1999e-014
122	4.6972e-015
123	-6.6537e-015
124	3.9213e-014
125	1.4727e-014
126	1.0263e-014
127	3.1171e-014
128	3.6562e-014
129	3.6376e-014
130	4.675e-014
131	-4.9854e-015
132	-9.4725e-016
133	1.0907e-014
134	1.8987e-014
135	1.9205e-014
136	0.
137	0.
138	0.
139	0.
140	3.0278e-026
141	9.5337e-026
142	1.444e-025
143	1.1246e-025
144	3.957e-026
145	8.6007e-027
146	0.
147	0.
148	3.3375e-026
149	7.5487e-026
150	1.1608e-025
151	1.2077e-025
152	8.7388e-026
153	4.5825e-026
154	0.
155	0.
156	-3.3484e-026
157	6.1617e-026
158	2.2877e-025
159	1.2224e-025
160	-2.0702e-026
161	-5.8151e-027
162	0.
163	0.
164	0.
165	0.
166	0.
167	0.
168	0.
169	0.
170	0.
171	0.
172	-2.8151e-027
173	-5.0095e-027
174	-5.8946e-027
175	-5.7154e-027
176	-4.2332e-027
177	-1.9858e-027
178	0.
179	0.
180	0.
181	0.
182	0.
183	0.
184	0.
185	0.
186	0.
187	0.
188	-1.8441e-027
189	-4.1201e-027
190	-5.5654e-027
191	-6.2093e-027
192	-5.0696e-027
193	-2.3114e-027
194	0.
195	0.
196	0.
197	0.
198	0.
199	0.
200	0.
201	0.
202	0.
203	0.
204	0.
205	0.
206	0.
207	0.
208	0.
209	0.
210	0.
211	0.
212	0.
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	4.2148e-026
235	-7.648e-026
236	-5.0558e-026
237	-3.8438e-026
238	4.9014e-026
239	-1.1701e-025
240	-2.0467e-025
241	1.3883e-025
242	4.282e-025
243	2.8024e-026
244	-1.0311e-025
245	-1.1012e-026
246	0.
247	-3.3821e-026
248	6.5097e-028
249	-9.1003e-026
250	-5.3381e-026
251	-5.6984e-026
252	-6.6856e-026
253	-8.9763e-026
254	3.1385e-025
255	-4.716e-026
256	-3.1957e-026
257	-1.0644e-025
258	-6.6632e-026
259	5.266e-027
260	-4.9122e-027
261	-3.0624e-027
262	1.523e-025
263	2.9115e-026
264	5.7464e-027
265	2.2422e-026
266	6.4288e-026
267	3.5363e-028
268	1.4032e-026
